Age_Group,Gender,City_Tier,Occupation,Platform,Gamer_Identity,Mechanical_Keyboard,Setup_Value,Preferred_Aesthetic,Keycap_Material,Color_Theme,Aesthetic_Importance,Interested_Keycaps,Interested_Cables,Interested_DeskMat,Interested_RGB,Discount_Preference,Expected_Spending,Purchase_Interest
31-40,Male,Tier 2,Student,PC,5,No,2L+,Professional,Metal,Custom,4,1,1,1,0,20-30%,4599.0,Neutral
40+,Male,Tier 2,Freelancer,Console,1,No,<20k,Gaming,Metal,Anime,3,0,1,1,0,Bundle,1624.0,Very unlikely
26-30,Male,Tier 2,Working Professional,Mobile,4,No,2L+,Professional,ABS,RGB,1,0,1,0,1,5-10%,2447.0,Unlikely
40+,Male,Tier 3,Content Creator,Multiple,4,No,<20k,RGB,PBT,Anime,3,1,1,0,0,5-10%,4197.0,Neutral
40+,Male,Tier 1,Freelancer,Mobile,2,No,20k-50k,Gaming,PBT,White,2,0,1,1,1,Bundle,1573.0,Very unlikely
21-25,Male,Tier 3,Freelancer,PC,2,No,50k-1L,Anime,Not Sure,White,4,1,0,0,0,Free Accessory,3101.0,Unlikely
26-30,Prefer not to say,Tier 2,Freelancer,Mobile,3,No,1L-2L,Anime,Metal,RGB,1,1,0,1,1,20-30%,3810.0,Unlikely
26-30,Male,Tier 1,Working Professional,PC,3,No,<20k,Gaming,PBT,Anime,3,1,1,1,1,Free Accessory,3386.0,Unlikely
26-30,Male,Tier 2,Working Professional,Console,1,No,20k-50k,Gaming,Not Sure,RGB,5,0,0,0,1,20-30%,2703.0,Unlikely
40+,Male,Tier 3,Working Professional,PC,4,No,50k-1L,Minimal,PBT,Dark,2,1,0,0,1,10-20%,2457.0,Unlikely
31-40,Male,Tier 1,Content Creator,PC,1,No,50k-1L,Gaming,ABS,RGB,3,1,0,1,1,20-30%,3061.0,Unlikely
26-30,Female,Tier 1,Student,Mobile,1,No,50k-1L,Minimal,ABS,RGB,5,0,0,1,1,Free Accessory,3875.0,Unlikely
40+,Male,Rural,Content Creator,Console,2,No,<20k,Minimal,ABS,White,1,1,0,1,1,20-30%,2063.0,Very unlikely
21-25,Prefer not to say,Tier 1,Working Professional,PC,1,No,20k-50k,Minimal,Not Sure,White,1,1,1,1,1,10-20%,2361.0,Very unlikely
31-40,Male,Tier 2,Student,PC,1,Yes,2L+,Minimal,Metal,Anime,2,1,1,1,0,10-20%,2370.0,Very unlikely
21-25,Male,Tier 2,Student,Mobile,5,No,20k-50k,RGB,ABS,RGB,5,1,0,1,0,5-10%,4998.0,Likely
